player,team,pos,gp,min,pts,reb,ast,stl,blk,tpm,tov,fga,fta,fg,ft,adp
Nikola Jokić,DEN,C,70,35.0,29.6,12.74,10.2,1.81,0.64,1.97,3.29,19.49,6.44,0.0,0.0,1.0
Giannis Antetokounmpo,MIL,C/PF,70,35.0,30.4,11.91,6.5,0.87,1.16,0.21,3.07,19.69,10.55,0.0,0.0,2.0
Shai Gilgeous-Alexander,OKC,PG,70,35.0,32.7,4.99,6.4,1.72,1.01,2.14,2.41,21.79,8.8,0.0,0.0,3.0
Luka Dončić,LAL,PG,70,35.0,28.15,8.2,7.65,1.81,0.42,3.53,3.56,20.57,7.77,0.0,0.0,4.0
Victor Wembanyama,SAS,C,70,35.0,24.3,11.0,3.7,1.13,3.83,3.09,3.24,18.63,4.11,0.0,0.0,5.0
Jayson Tatum,BOS,PF/SF,70,35.0,26.8,8.65,6.0,1.06,0.53,3.47,2.9,20.35,6.11,0.0,0.0,6.0
Cade Cunningham,DET,PG/SG,70,35.0,26.1,6.07,9.1,1.01,0.76,2.13,4.41,20.81,5.29,0.0,0.0,7.0
Anthony Davis,DAL,C/PF,70,33.0,22.85,11.0,3.9,0.93,2.18,0.73,2.21,17.47,6.48,0.0,0.0,8.0
Karl-Anthony Towns,NYK,C/PF,70,35.0,24.4,12.78,3.1,0.99,0.69,1.97,2.67,16.88,5.68,0.0,0.0,9.0
LeBron James,LAL,C/PF/SF,70,35.0,24.4,7.8,8.2,1.0,0.56,2.13,3.71,18.14,4.73,0.0,0.0,10.0
Anthony Edwards,MIN,PG/SG,70,35.0,27.6,5.7,4.5,1.15,0.65,4.05,3.15,20.41,6.28,0.0,0.0,11.0
Trae Young,ATL,PG,70,35.0,24.2,3.11,11.6,1.2,0.16,2.87,4.67,18.11,7.38,0.0,0.0,12.0
James Harden,LAC,PG/SG,70,33.0,22.8,5.77,8.7,1.49,0.7,2.97,4.32,16.39,7.32,0.0,0.0,13.0
Tyrese Maxey,PHI,PG,70,35.0,26.3,3.35,6.1,1.75,0.4,3.1,2.38,20.98,5.56,0.0,0.0,14.0
LaMelo Ball,CHA,PG,70,35.0,25.2,4.94,7.4,1.15,0.28,3.81,3.55,21.34,4.87,0.0,0.0,15.0
Kevin Durant,HOU,PF/SF,70,35.0,26.6,6.03,4.2,0.81,1.24,2.58,3.06,18.13,5.82,0.0,0.0,16.0
Paolo Banchero,ORL,PF,70,35.0,25.9,7.5,4.8,0.78,0.61,1.89,2.96,19.8,8.37,0.0,0.0,17.0
Domantas Sabonis,SAC,C,70,33.0,19.1,13.89,6.0,0.69,0.37,0.93,2.89,12.76,4.13,0.0,0.0,18.0
Damian Lillard,POR,PG,70,35.0,24.9,4.69,7.1,1.21,0.17,3.4,2.79,17.1,6.78,0.0,0.0,19.0
Zion Williamson,NOP,PF/SF,70,35.0,24.6,7.2,5.3,1.23,0.9,0.1,3.0,16.93,8.03,0.0,0.0,20.0
Devin Booker,PHX,PG/SG,70,35.0,25.6,4.07,7.1,0.89,0.21,2.44,2.93,18.93,6.44,0.0,0.0,21.0
Stephen Curry,GSW,PG,70,35.0,24.5,4.43,6.0,1.14,0.43,4.44,2.86,17.97,4.27,0.0,0.0,22.0
Jalen Brunson,NYK,PG,70,35.0,26.0,2.88,7.3,0.92,0.12,2.34,2.52,18.46,6.89,0.0,0.0,23.0
Joel Embiid,PHI,C,70,33.0,23.8,8.16,4.5,0.74,0.95,1.21,3.26,16.58,8.89,0.0,0.0,24.0
Kyrie Irving,DAL,PG/SG,70,35.0,24.7,4.8,4.6,1.32,0.46,2.88,2.22,18.9,4.28,0.0,0.0,25.0
Jalen Johnson,ATL,PF,70,33.0,18.9,9.97,5.0,1.56,1.0,1.22,2.94,15.06,3.5,0.0,0.0,26.0
Franz Wagner,ORL,PF/SF/SG,70,35.0,24.2,5.7,4.7,1.25,0.35,1.73,2.3,19.35,5.18,0.0,0.0,27.0
Tyrese Haliburton,IND,PG/SG,70,33.0,18.6,3.53,9.2,1.44,0.67,2.99,1.64,13.78,3.04,0.0,0.0,28.0
